date,hour,actual,predicted,naive
2017-01-01,0,28171.0,28065.822,31172.0
2017-01-01,1,26879.0,26725.025,29627.0
2017-01-01,2,25848.0,25913.521,28744.0
2017-01-01,3,25039.0,25156.2,28274.0
2017-01-01,4,24637.0,24786.215,28162.0
2017-01-01,5,24615.0,24677.488,28434.0
2017-01-01,6,24973.0,24911.299,29132.0
2017-01-01,7,25676.0,25539.672,30252.0
2017-01-01,8,26197.0,26177.145,31056.0
2017-01-01,9,26560.0,26756.785,31787.0
2017-01-01,10,26688.0,27173.387,32116.0
2017-01-01,11,26567.0,27408.816,31807.0
2017-01-01,12,26448.0,27374.457,31084.0
2017-01-01,13,26162.0,27290.266,30461.0
2017-01-01,14,25880.0,27215.863,30043.0
2017-01-01,15,25846.0,27358.637,30180.0
2017-01-01,16,26250.0,27961.172,31021.0
2017-01-01,17,27854.0,29710.465,32688.0
2017-01-01,18,30868.0,32163.607,34898.0
2017-01-01,19,31442.0,32728.299,34478.0
2017-01-01,20,31448.0,32481.07,33328.0
2017-01-01,21,31246.0,31965.562,32197.0
2017-01-01,22,30526.0,31033.059,30909.0
2017-01-01,23,29209.0,29559.926,29519.0
2017-01-02,0,27617.0,27692.86,28171.0
2017-01-02,1,26216.0,26454.11,26879.0
2017-01-02,2,25381.0,25630.809,25848.0
2017-01-02,3,24962.0,25218.549,25039.0
2017-01-02,4,24873.0,25134.42,24637.0
2017-01-02,5,25313.0,25515.977,24615.0
2017-01-02,6,26354.0,26869.873,24973.0
2017-01-02,7,27699.0,28884.781,25676.0
2017-01-02,8,28746.0,30282.016,26197.0
2017-01-02,9,29682.0,30734.469,26560.0
2017-01-02,10,30929.0,30802.031,26688.0
2017-01-02,11,31878.0,30929.035,26567.0
2017-01-02,12,32418.0,30852.055,26448.0
2017-01-02,13,32478.0,30640.543,26162.0
2017-01-02,14,32375.0,30576.883,25880.0
2017-01-02,15,32254.0,30568.352,25846.0
2017-01-02,16,32428.0,31123.645,26250.0
2017-01-02,17,33742.0,33008.246,27854.0
2017-01-02,18,35538.0,35671.547,30868.0
2017-01-02,19,35178.0,36042.324,31442.0
2017-01-02,20,34600.0,35572.72,31448.0
2017-01-02,21,33674.0,34903.96,31246.0
2017-01-02,22,32035.0,33515.484,30526.0
2017-01-02,23,29870.0,31686.21,29209.0
2017-01-03,0,27771.0,28110.266,27617.0
2017-01-03,1,26243.0,26862.61,26216.0
2017-01-03,2,25340.0,26199.86,25381.0
2017-01-03,3,25022.0,26234.629,24962.0
2017-01-03,4,25123.0,26509.584,24873.0
2017-01-03,5,25925.0,27426.232,25313.0
2017-01-03,6,27975.0,29491.164,26354.0
2017-01-03,7,31330.0,32184.863,27699.0
2017-01-03,8,33316.0,33952.125,28746.0
2017-01-03,9,33576.0,34336.664,29682.0
2017-01-03,10,33840.0,34171.453,30929.0
2017-01-03,11,34082.0,33934.617,31878.0
2017-01-03,12,34092.0,33532.86,32418.0
2017-01-03,13,34082.0,33295.07,32478.0
2017-01-03,14,33749.0,32873.914,32375.0
2017-01-03,15,33278.0,32520.34,32254.0
2017-01-03,16,33276.0,32747.902,32428.0
2017-01-03,17,34484.0,34449.473,33742.0
2017-01-03,18,36356.0,36509.664,35538.0
2017-01-03,19,36106.0,36561.7,35178.0
2017-01-03,20,35306.0,35768.297,34600.0
2017-01-03,21,34322.0,34828.727,33674.0
2017-01-03,22,32580.0,33113.32,32035.0
2017-01-03,23,30147.0,30824.55,29870.0
2017-01-04,0,27889.0,28244.896,27771.0
2017-01-04,1,26222.0,26783.115,26243.0
2017-01-04,2,25288.0,25930.543,25340.0
2017-01-04,3,24893.0,25700.922,25022.0
2017-01-04,4,24909.0,25806.875,25123.0
2017-01-04,5,25503.0,26552.457,25925.0
2017-01-04,6,27505.0,28290.293,27975.0
2017-01-04,7,30840.0,31009.713,31330.0
2017-01-04,8,32656.0,32754.637,33316.0
2017-01-04,9,32425.0,33177.656,33576.0
2017-01-04,10,32196.0,32989.973,33840.0
2017-01-04,11,32125.0,32817.336,34082.0
2017-01-04,12,31813.0,32327.88,34092.0
2017-01-04,13,31142.0,31953.715,34082.0
2017-01-04,14,30532.0,31745.273,33749.0
2017-01-04,15,30446.0,31681.5,33278.0
2017-01-04,16,30963.0,32167.586,33276.0
2017-01-04,17,32564.0,34285.04,34484.0
2017-01-04,18,35824.0,36689.805,36356.0
2017-01-04,19,36411.0,37033.07,36106.0
2017-01-04,20,36328.0,36491.68,35306.0
2017-01-04,21,35852.0,35777.42,34322.0
2017-01-04,22,34526.0,34341.766,32580.0
2017-01-04,23,32492.0,32062.61,30147.0
2017-01-05,0,30557.0,30396.781,27889.0
2017-01-05,1,29307.0,28845.512,26222.0
2017-01-05,2,28748.0,27980.709,25288.0
2017-01-05,3,28529.0,27735.555,24893.0
2017-01-05,4,28847.0,27840.191,24909.0
2017-01-05,5,29936.0,28681.727,25503.0
2017-01-05,6,32276.0,30595.385,27505.0
2017-01-05,7,35874.0,33575.688,30840.0
2017-01-05,8,37704.0,35587.715,32656.0
2017-01-05,9,37576.0,35874.086,32425.0
2017-01-05,10,37476.0,35696.324,32196.0
2017-01-05,11,37288.0,35673.613,32125.0
2017-01-05,12,36670.0,35394.203,31813.0
2017-01-05,13,35773.0,35074.918,31142.0
2017-01-05,14,35631.0,34942.234,30532.0
2017-01-05,15,35736.0,34619.883,30446.0
2017-01-05,16,36064.0,34933.62,30963.0
2017-01-05,17,37376.0,37024.83,32564.0
