experiment,context_len,date,hour,actual,predicted,naive
exp1_512h,512,2018-01-01,0,39928.0,39224.09,36156.0
exp1_512h,512,2018-01-01,1,38925.0,37804.58,35242.0
exp1_512h,512,2018-01-01,2,38298.0,36519.15,34410.0
exp1_512h,512,2018-01-01,3,37808.0,35940.633,34150.0
exp1_512h,512,2018-01-01,4,37742.0,35671.36,34220.0
exp1_512h,512,2018-01-01,5,38049.0,35919.977,34627.0
exp1_512h,512,2018-01-01,6,38821.0,37106.12,35438.0
exp1_512h,512,2018-01-01,7,39762.0,38702.68,36615.0
exp1_512h,512,2018-01-01,8,40154.0,40051.523,37612.0
exp1_512h,512,2018-01-01,9,40309.0,40503.344,38435.0
exp1_512h,512,2018-01-01,10,39884.0,40335.395,38803.0
exp1_512h,512,2018-01-01,11,39544.0,40078.484,39375.0
exp1_512h,512,2018-01-01,12,39270.0,39781.11,39565.0
exp1_512h,512,2018-01-01,13,38987.0,39300.773,39664.0
exp1_512h,512,2018-01-01,14,38726.0,38739.727,39888.0
exp1_512h,512,2018-01-01,15,38737.0,38859.22,40210.0
exp1_512h,512,2018-01-01,16,39337.0,39207.29,40604.0
exp1_512h,512,2018-01-01,17,41213.0,40766.14,42013.0
exp1_512h,512,2018-01-01,18,44147.0,42729.016,44605.0
exp1_512h,512,2018-01-01,19,44343.0,43061.906,44650.0
exp1_512h,512,2018-01-01,20,44284.0,42685.47,43948.0
exp1_512h,512,2018-01-01,21,43751.0,41853.61,43092.0
exp1_512h,512,2018-01-01,22,42402.0,40386.875,42090.0
exp1_512h,512,2018-01-01,23,40164.0,38480.254,40972.0
exp1_512h,512,2018-01-02,0,38608.0,38197.5,39928.0
exp1_512h,512,2018-01-02,1,37679.0,36662.78,38925.0
exp1_512h,512,2018-01-02,2,37160.0,35507.168,38298.0
exp1_512h,512,2018-01-02,3,37063.0,34970.516,37808.0
exp1_512h,512,2018-01-02,4,37401.0,34770.6,37742.0
exp1_512h,512,2018-01-02,5,38255.0,35107.52,38049.0
exp1_512h,512,2018-01-02,6,40408.0,36321.117,38821.0
exp1_512h,512,2018-01-02,7,43508.0,37921.547,39762.0
exp1_512h,512,2018-01-02,8,45012.0,39178.266,40154.0
exp1_512h,512,2018-01-02,9,44491.0,39509.18,40309.0
exp1_512h,512,2018-01-02,10,43736.0,39108.18,39884.0
exp1_512h,512,2018-01-02,11,42747.0,38578.633,39544.0
exp1_512h,512,2018-01-02,12,41745.0,38143.68,39270.0
exp1_512h,512,2018-01-02,13,40849.0,37559.57,38987.0
exp1_512h,512,2018-01-02,14,40240.0,37006.99,38726.0
exp1_512h,512,2018-01-02,15,39817.0,37022.24,38737.0
exp1_512h,512,2018-01-02,16,40291.0,37686.69,39337.0
exp1_512h,512,2018-01-02,17,42219.0,39469.21,41213.0
exp1_512h,512,2018-01-02,18,45537.0,41450.305,44147.0
exp1_512h,512,2018-01-02,19,46050.0,41968.07,44343.0
exp1_512h,512,2018-01-02,20,45787.0,41871.406,44284.0
exp1_512h,512,2018-01-02,21,45209.0,41207.37,43751.0
exp1_512h,512,2018-01-02,22,43663.0,39673.11,42402.0
