date,hour,actual,predicted,xgb_residual_pred,predicted_corrected,naive
2018-01-01,0,39928.0,39220.402,543.2089,39763.610923339846,36156.0
2018-01-01,1,38925.0,37808.51,740.9147,38549.424672851565,35242.0
2018-01-01,2,38298.0,36935.727,729.43256,37665.15955615234,34410.0
2018-01-01,3,37808.0,36527.18,773.9755,37301.155524902344,34150.0
2018-01-01,4,37742.0,36392.74,773.9755,37166.71552490234,34220.0
2018-01-01,5,38049.0,36874.445,733.6913,37608.13628417969,34627.0
2018-01-01,6,38821.0,38314.305,733.6913,39047.99628417969,35438.0
2018-01-01,7,39762.0,40402.64,733.6913,41136.33128417969,36615.0
2018-01-01,8,40154.0,42156.64,741.5808,42898.220810546874,37612.0
2018-01-01,9,40309.0,42565.32,711.23444,43276.554436035156,38435.0
2018-01-01,10,39884.0,42258.0,543.2089,42801.208923339844,38803.0
2018-01-01,11,39544.0,41951.535,679.47473,42631.009731445316,39375.0
2018-01-01,12,39270.0,41661.637,578.5992,42240.23618212891,39565.0
2018-01-01,13,38987.0,41132.188,175.20218,41307.39017895508,39664.0
2018-01-01,14,38726.0,40743.67,100.66838,40844.3383807373,39888.0
2018-01-01,15,38737.0,40692.527,116.98832,40809.515319396975,40210.0
2018-01-01,16,39337.0,41294.758,116.98832,41411.746319396974,40604.0
2018-01-01,17,41213.0,43093.617,116.98832,43210.60531939697,42013.0
2018-01-01,18,44147.0,45299.75,-2.5006833,45297.24931669235,44605.0
2018-01-01,19,44343.0,45782.684,58.71841,45841.402410491944,44650.0
2018-01-01,20,44284.0,45356.69,773.9755,46130.665524902346,43948.0
2018-01-01,21,43751.0,44502.668,543.2089,45045.87692333984,43092.0
2018-01-01,22,42402.0,43175.4,543.2089,43718.608923339845,42090.0
2018-01-01,23,40164.0,41131.49,543.2089,41674.69892333984,40972.0
2018-01-02,0,38608.0,38301.344,543.2089,38844.55292333984,39928.0
2018-01-02,1,37679.0,36788.344,543.2089,37331.55292333984,38925.0
2018-01-02,2,37160.0,35839.047,740.9147,36579.96167285156,38298.0
2018-01-02,3,37063.0,35430.594,729.43256,36160.02655615234,37808.0
2018-01-02,4,37401.0,35420.242,773.9755,36194.21752490234,37742.0
2018-01-02,5,38255.0,35800.07,711.23444,36511.304436035156,38049.0
2018-01-02,6,40408.0,37449.906,711.23444,38161.14043603516,38821.0
2018-01-02,7,43508.0,39663.54,741.5808,40405.120810546876,39762.0
2018-01-02,8,45012.0,41132.395,654.4393,41786.83427001953,40154.0
2018-01-02,9,44491.0,41184.14,619.21594,41803.35594238281,40309.0
2018-01-02,10,43736.0,40567.023,748.3073,41315.33031201172,39884.0
2018-01-02,11,42747.0,40125.332,0.39399862,40125.7259986229,39544.0
2018-01-02,12,41745.0,39504.992,236.74481,39741.73681201172,39270.0
2018-01-02,13,40849.0,38840.727,-39.366653,38801.360346557616,38987.0
2018-01-02,14,40240.0,38532.234,-164.16354,38368.070456298825,38726.0
2018-01-02,15,39817.0,38240.227,-229.45013,38010.776865722655,38737.0
2018-01-02,16,40291.0,38765.03,-229.45013,38535.579865722655,39337.0
2018-01-02,17,42219.0,40543.668,-229.45013,40314.217865722654,41213.0
2018-01-02,18,45537.0,42727.445,257.6685,42985.11348754883,44147.0
2018-01-02,19,46050.0,43128.477,190.38104,43318.85804248047,44343.0
2018-01-02,20,45787.0,42719.117,643.295,43362.411982910155,44284.0
2018-01-02,21,45209.0,41944.227,643.295,42587.521982910155,43751.0
2018-01-02,22,43663.0,40539.535,679.4103,41218.945278320316,42402.0
2018-01-02,23,41581.0,38433.863,729.21643,39163.07943066406,40164.0
2018-01-03,0,39451.0,39356.37,659.4906,40015.86060058594,38608.0
2018-01-03,1,38011.0,37235.64,702.37354,37938.01353515625,37679.0
2018-01-03,2,37534.0,35872.06,733.6913,36605.751284179685,37160.0
2018-01-03,3,37485.0,35289.824,724.8304,36014.65438330078,37063.0
2018-01-03,4,37864.0,35060.164,711.23444,35771.39843603515,37401.0
2018-01-03,5,38960.0,35350.285,619.21594,35969.500942382816,38255.0
2018-01-03,6,41303.0,37029.945,654.4393,37684.38427001953,40408.0
2018-01-03,7,44802.0,39553.523,685.29877,40238.821767089845,43508.0
2018-01-03,8,46432.0,41263.88,711.23444,41975.11443603515,45012.0
2018-01-03,9,45542.0,41299.57,619.21594,41918.78594238281,44491.0
2018-01-03,10,43472.0,40590.54,59.05703,40649.59702972412,43736.0
2018-01-03,11,41762.0,39976.523,4.052011,39980.57501101303,42747.0
2018-01-03,12,40644.0,39087.887,-248.12163,38839.765372192385,41745.0
2018-01-03,13,39561.0,38200.008,-79.87946,38120.1285368042,40849.0
2018-01-03,14,38709.0,37859.367,-435.31824,37424.04876269531,40240.0
2018-01-03,15,38092.0,37560.99,-578.1624,36982.82758544922,39817.0
2018-01-03,16,38594.0,37881.71,-563.1581,37318.55191894531,40291.0
2018-01-03,17,40576.0,39833.41,-438.178,39395.2319909668,42219.0
2018-01-03,18,43373.0,42079.492,-435.31824,41644.17376269531,45537.0
2018-01-03,19,43683.0,42637.594,-96.55204,42541.0419598999,46050.0
2018-01-03,20,43308.0,42442.92,-140.79881,42302.12118713379,45787.0
2018-01-03,21,42440.0,41895.008,-180.96103,41714.04697094727,45209.0
2018-01-03,22,40661.0,40589.605,-166.84084,40422.764164428714,43663.0
2018-01-03,23,38207.0,38571.82,80.409676,38652.229675598144,41581.0
2018-01-04,0,36088.0,36413.375,20.401173,36433.77617263794,39451.0
2018-01-04,1,34494.0,34899.547,247.00656,35146.553561279296,38011.0
