date,actual,naive,xgb_a,timesfm
2024-01-05,8325,7558.0,8121.7124,8244.73828125
2024-01-12,8269,8054.0,8279.594,8331.7265625
2024-01-19,7880,8142.0,8243.958,8376.33984375
2024-01-26,8144,8491.0,8199.686,8358.5634765625
2024-02-02,8807,8428.0,8362.77,8423.0546875
2024-02-09,8168,8274.0,8550.104,8580.541015625
2024-02-16,8200,8910.0,8391.492,8511.84765625
2024-02-23,8467,9112.0,8489.587,8476.6357421875
2024-03-01,9013,8562.0,8584.178,8487.7353515625
2024-03-08,9044,8594.0,8694.584,8654.302734375
2024-03-15,8809,8960.0,8637.536,8764.4072265625
2024-03-22,8715,9145.0,8749.48,8805.080078125
2024-03-29,9236,9295.0,8924.606,8797.40234375
2024-04-05,8612,8936.0,9004.614,8896.1455078125
2024-04-12,8662,8519.0,8864.151,8812.103515625
2024-04-19,8423,9511.0,8894.734,8798.896484375
2024-04-26,8618,8618.0,8752.842,8714.75
2024-05-03,8797,9303.0,8939.001,8745.435546875
2024-05-10,8875,8908.0,8929.122,8786.875
2024-05-17,9315,9437.0,9038.813,8891.626953125
2024-05-24,9148,9098.0,8907.197,8992.3671875
2024-05-31,8946,9218.0,9117.561,9044.0859375
2024-06-07,9040,9193.0,9062.762,9013.6259765625
2024-06-14,9386,9375.0,9044.11,9003.48046875
2024-06-21,8969,9306.0,8886.251,9122.634765625
2024-06-28,9424,9599.0,9353.863,9056.6875
2024-07-05,9398,8756.0,8716.227,9054.740234375
2024-07-12,8783,8855.0,8887.241,9063.439453125
2024-07-19,9456,8939.0,9138.525,8940.041015625
2024-07-26,9250,8838.0,8901.367,9104.560546875
2024-08-02,8967,9302.0,9202.588,9120.150390625
2024-08-09,9045,8851.0,9164.91,9032.501953125
2024-08-16,9193,8910.0,9134.278,9021.6572265625
2024-08-23,9307,9068.0,9274.461,9053.2578125
2024-08-30,8938,9321.0,9312.552,9085.21875
2024-09-06,8478,8307.0,8820.864,8926.1796875
2024-09-13,8776,8410.0,8817.696,8728.564453125
2024-09-20,9205,8619.0,9010.896,8749.8515625
2024-09-27,8521,8014.0,9064.028,8887.8203125
2024-10-04,9654,8581.0,8987.903,8809.3251953125
2024-10-11,8620,8943.0,9045.1455,9039.16796875
2024-10-18,8838,8864.0,9038.542,8941.8359375
2024-10-25,9159,8697.0,8978.89,8952.568359375
2024-11-01,8828,9492.0,9149.297,9032.1318359375
2024-11-08,9383,8949.0,9091.118,8877.24609375
2024-11-15,8419,8480.0,8721.289,8849.39453125
2024-11-22,8506,8206.0,8648.584,8686.529296875
2024-11-29,8738,8466.0,8767.436,8646.546875
2024-12-06,8810,8859.0,8717.9795,8740.4775390625
2024-12-13,8927,8754.0,8999.347,8791.51171875
2024-12-20,9008,9168.0,9095.9375,8850.697265625
2024-12-27,8168,7954.0,8231.519,8626.3984375
