date,actual,predicted,naive,analog_end_date,best_dist,analog_weeks,actual_weeks
2024-01-05,8325.0,8984.2177734375,7558.0,2022-01-07,0.8379702007864037,52,0
2024-01-12,8269.0,8508.4052734375,8054.0,2013-01-18,0.8439771394994248,51,1
2024-01-19,7880.0,8406.12109375,8142.0,2013-01-25,0.8264145755580747,50,2
2024-01-26,8144.0,8154.2021484375,8491.0,2022-01-28,0.7959002648987868,49,3
2024-02-02,8807.0,8231.58203125,8428.0,2022-02-04,0.7637668876408623,48,4
2024-02-09,8168.0,8659.5986328125,8274.0,2022-02-11,0.7664658976123071,47,5
2024-02-16,8200.0,8376.390625,8910.0,2022-02-18,0.7550531996306663,46,6
2024-02-23,8467.0,8345.60546875,9112.0,2022-02-25,0.7554726074662957,45,7
2024-03-01,9013.0,8422.8037109375,8562.0,2022-03-04,0.7757632104666674,44,8
2024-03-08,9044.0,8775.2333984375,8594.0,2022-03-11,0.8321981510540002,43,9
2024-03-15,8809.0,8877.482421875,8960.0,2022-03-18,0.8558762494011327,42,10
2024-03-22,8715.0,8847.576171875,9145.0,2018-03-23,0.8186117876745292,41,11
2024-03-29,9236.0,8823.603515625,9295.0,2018-03-30,0.7982684110629298,40,12
2024-04-05,8612.0,9232.384765625,8936.0,2017-04-07,0.6945870280382214,39,13
2024-04-12,8662.0,9124.439453125,8519.0,2017-04-14,0.6917002419779106,38,14
2024-04-19,8423.0,9004.4384765625,9511.0,2017-04-21,0.6715449452712406,37,15
2024-04-26,8618.0,8768.251953125,8618.0,2017-04-28,0.7070665261892992,36,16
2024-05-03,8797.0,8695.5009765625,9303.0,2017-05-05,0.7111245883444931,35,17
2024-05-10,8875.0,8789.4345703125,8908.0,2017-05-12,0.6691539732377918,34,18
2024-05-17,9315.0,8855.4794921875,9437.0,2017-05-19,0.6725851019592386,33,19
2024-05-24,9148.0,9192.52734375,9098.0,2017-05-26,0.6263335916943097,32,20
2024-05-31,8946.0,9199.599609375,9218.0,2017-06-02,0.5564816345504455,31,21
2024-06-07,9040.0,9059.65234375,9193.0,2017-06-09,0.5542700864178979,30,22
2024-06-14,9386.0,9069.849609375,9375.0,2017-06-16,0.5334519656385059,29,23
2024-06-21,8969.0,9322.99609375,9306.0,2017-06-23,0.505265501535951,28,24
2024-06-28,9424.0,9161.017578125,9599.0,2017-06-30,0.48870676037373934,27,25
2024-07-05,9398.0,9323.1015625,8756.0,2017-07-07,0.4867581869209282,26,26
2024-07-12,8783.0,9359.185546875,8855.0,2017-07-14,0.4812416476853631,25,27
2024-07-19,9456.0,9031.2666015625,8939.0,2017-07-21,0.4948771449880482,24,28
2024-07-26,9250.0,9276.34765625,8838.0,2017-07-28,0.5402589423310543,23,29
2024-08-02,8967.0,9239.5517578125,9302.0,2017-08-04,0.575309603134307,22,30
2024-08-09,9045.0,9128.634765625,8851.0,2017-08-11,0.5835586417782141,21,31
2024-08-16,9193.0,9144.19140625,8910.0,2017-08-18,0.6476080116568825,20,32
2024-08-23,9307.0,9174.6240234375,9068.0,2017-08-25,0.7272648302594982,19,33
2024-08-30,8938.0,9171.85546875,9321.0,2017-09-01,0.7627460096781827,18,34
2024-09-06,8478.0,9072.521484375,8307.0,2017-09-08,0.7632394070139403,17,35
2024-09-13,8776.0,8878.056640625,8410.0,2017-09-15,0.8332073963849582,16,36
2024-09-20,9205.0,8881.6103515625,8619.0,2017-09-22,0.8363160925076384,15,37
2024-09-27,8521.0,9026.0654296875,8014.0,2017-09-29,0.8310893337583668,14,38
2024-10-04,9654.0,8858.0859375,8581.0,2017-10-06,0.7210126057296035,13,39
2024-10-11,8620.0,9221.615234375,8943.0,2017-10-13,0.8377941707920318,12,40
2024-10-18,8838.0,8862.80859375,8864.0,2017-10-20,0.8302193413507029,11,41
2024-10-25,9159.0,8898.3017578125,8697.0,2017-10-27,0.8630311739184006,10,42
2024-11-01,8828.0,8975.0703125,9492.0,2017-11-03,0.9133820047535587,9,43
2024-11-08,9383.0,8939.42578125,8949.0,2022-03-11,0.8718319313251937,8,44
2024-11-15,8419.0,9041.9873046875,8480.0,2022-03-18,0.8878135619902183,7,45
2024-11-22,8506.0,8861.482421875,8206.0,2022-03-25,0.8752491328409289,6,46
2024-11-29,8738.0,8755.04296875,8466.0,2022-04-01,0.8577078636229076,5,47
2024-12-06,8810.0,8735.59765625,8859.0,2022-04-08,0.8195950230857577,4,48
2024-12-13,8927.0,8748.01953125,8754.0,2022-04-15,0.8142215570785276,3,49
2024-12-20,9008.0,8801.16796875,9168.0,2022-04-22,0.8422433857551173,2,50
2024-12-27,8168.0,8863.9150390625,7954.0,2022-04-29,0.822316995596469,1,51
