date,actual,naive,timesfm,xgb_a,ensemble
2024-01-05,8325,7558.0,8244.73828125,8121.7124,8056.461532592773
2024-01-12,8269,8054.0,8331.7265625,8279.594,8389.904136657715
2024-01-19,7880,8142.0,8376.33984375,8243.958,8460.813179016113
2024-01-26,8144,8491.0,8358.5634765625,8199.686,8507.387680053711
2024-02-02,8807,8428.0,8423.0546875,8362.77,8451.78615951538
2024-02-09,8168,8274.0,8580.541015625,8550.104,8691.017990112305
2024-02-16,8200,8910.0,8511.84765625,8391.492,8538.525699615479
2024-02-23,8467,9112.0,8476.6357421875,8489.587,8529.197021484375
2024-03-01,9013,8562.0,8487.7353515625,8584.178,8579.611221313477
2024-03-08,9044,8594.0,8654.302734375,8694.584,8729.144256591797
2024-03-15,8809,8960.0,8764.4072265625,8637.536,8889.679092407227
2024-03-22,8715,9145.0,8805.080078125,8749.48,8893.794868469238
2024-03-29,9236,9295.0,8797.40234375,8924.606,8755.349529266357
2024-04-05,8612,8936.0,8896.1455078125,9004.614,8855.0990524292
2024-04-12,8662,8519.0,8812.103515625,8864.151,8730.133598327637
2024-04-19,8423,9511.0,8798.896484375,8894.734,8645.325942993164
2024-04-26,8618,8618.0,8714.75,8752.842,8728.125363349915
2024-05-03,8797,9303.0,8745.435546875,8939.001,8716.52703666687
2024-05-10,8875,8908.0,8786.875,8929.122,8834.253108978271
2024-05-17,9315,9437.0,8891.626953125,9038.813,8952.702819824219
2024-05-24,9148,9098.0,8992.3671875,8907.197,9051.197116851807
2024-05-31,8946,9218.0,9044.0859375,9117.561,9011.45846939087
2024-06-07,9040,9193.0,9013.6259765625,9062.762,9104.1109085083
2024-06-14,9386,9375.0,9003.48046875,9044.11,9032.618375778198
2024-06-21,8969,9306.0,9122.634765625,8886.251,9133.17031955719
2024-06-28,9424,9599.0,9056.6875,9353.863,9042.354125976562
2024-07-05,9398,8756.0,9054.740234375,8716.227,8833.097671508789
2024-07-12,8783,8855.0,9063.439453125,8887.241,8852.838562011719
2024-07-19,9456,8939.0,8940.041015625,9138.525,8897.025375366211
2024-07-26,9250,8838.0,9104.560546875,8901.367,9127.582595825195
2024-08-02,8967,9302.0,9120.150390625,9202.588,9141.132749557495
2024-08-09,9045,8851.0,9032.501953125,9164.91,9087.511451721191
2024-08-16,9193,8910.0,9021.6572265625,9134.278,9081.23140335083
2024-08-23,9307,9068.0,9053.2578125,9274.461,9145.760330200195
2024-08-30,8938,9321.0,9085.21875,9312.552,9094.62451171875
2024-09-06,8478,8307.0,8926.1796875,8820.864,8848.842346191406
2024-09-13,8776,8410.0,8728.564453125,8817.696,8687.653274536133
2024-09-20,9205,8619.0,8749.8515625,9010.896,8755.763573646545
2024-09-27,8521,8014.0,8887.8203125,9064.028,8881.21796989441
2024-10-04,9654,8581.0,8809.3251953125,8987.903,8894.13168334961
2024-10-11,8620,8943.0,9039.16796875,9045.1455,9096.647037506104
2024-10-18,8838,8864.0,8941.8359375,9038.542,9010.576759338379
2024-10-25,9159,8697.0,8952.568359375,8978.89,9069.288543701172
2024-11-01,8828,9492.0,9032.1318359375,9149.297,9138.295715332031
2024-11-08,9383,8949.0,8877.24609375,9091.118,8995.835418701172
2024-11-15,8419,8480.0,8849.39453125,8721.289,8961.967674255371
2024-11-22,8506,8206.0,8686.529296875,8648.584,8787.073120117188
2024-11-29,8738,8466.0,8646.546875,8767.436,8782.609252929688
2024-12-06,8810,8859.0,8740.4775390625,8717.9795,8750.77857017517
2024-12-13,8927,8754.0,8791.51171875,8999.347,8978.606094360352
2024-12-20,9008,9168.0,8850.697265625,9095.9375,9149.817138671875
2024-12-27,8168,7954.0,8626.3984375,8231.519,7997.7381591796875
