date,actual,timesfm_pred,residual
2014-01-03,8274.0,8783.603515625,-509.603515625
2014-01-10,8021.0,8512.89453125,-491.89453125
2014-01-17,8059.0,8302.134765625,-243.134765625
2014-01-24,8584.0,8224.1376953125,359.8623046875
2014-01-31,8452.0,8523.2998046875,-71.2998046875
2014-02-07,8325.0,8518.0693359375,-193.0693359375
2014-02-14,8030.0,8466.544921875,-436.544921875
2014-02-21,8535.0,8291.369140625,243.630859375
2014-02-28,8411.0,8495.263671875,-84.263671875
2014-03-07,8949.0,8482.498046875,466.501953125
2014-03-14,8512.0,8670.912109375,-158.912109375
2014-03-21,9002.0,8595.5078125,406.4921875
2014-03-28,8713.0,8766.6953125,-53.6953125
2014-04-04,8996.0,8748.396484375,247.603515625
2014-04-11,8616.0,8867.49609375,-251.49609375
2014-04-18,8430.0,8768.24609375,-338.24609375
2014-04-25,8693.0,8651.068359375,41.931640625
2014-05-02,8719.0,8740.560546875,-21.560546875
2014-05-09,9191.0,8775.7578125,415.2421875
2014-05-16,9174.0,8948.72265625,225.27734375
2014-05-23,9310.0,9062.58984375,247.41015625
2014-05-30,9104.0,9135.4912109375,-31.4912109375
2014-06-06,8624.0,9107.04296875,-483.04296875
2014-06-13,9258.0,8956.46875,301.53125
2014-06-20,8813.0,9155.6103515625,-342.6103515625
2014-06-27,9168.0,9100.8818359375,67.1181640625
2014-07-04,8935.0,9104.498046875,-169.498046875
2014-07-11,9057.0,9037.791015625,19.208984375
2014-07-18,8792.0,9045.28125,-253.28125
2014-07-25,9006.0,9011.1044921875,-5.1044921875
2014-08-01,9359.0,9061.271484375,297.728515625
2014-08-08,8922.0,9179.6806640625,-257.6806640625
2014-08-15,8775.0,9085.671875,-310.671875
2014-08-22,9100.0,9001.9765625,98.0234375
2014-08-29,9480.0,9021.294921875,458.705078125
2014-09-05,8611.0,9081.29296875,-470.29296875
2014-09-12,8707.0,8886.36328125,-179.36328125
2014-09-19,8781.0,8830.787109375,-49.787109375
2014-09-26,8660.0,8826.2041015625,-166.2041015625
2014-10-03,8645.0,8776.9033203125,-131.9033203125
2014-10-10,9043.0,8769.130859375,273.869140625
2014-10-17,8836.0,8867.021484375,-31.021484375
2014-10-24,8867.0,8857.6171875,9.3828125
2014-10-31,9162.0,8870.6875,291.3125
2014-11-07,9005.0,8943.5234375,61.4765625
2014-11-14,9194.0,8908.3828125,285.6171875
2014-11-21,9254.0,8935.71484375,318.28515625
2014-11-28,9425.0,8958.740234375,466.259765625
2014-12-05,8549.0,8998.8984375,-449.8984375
2014-12-12,9373.0,8815.4892578125,557.5107421875
2014-12-19,9518.0,9000.642578125,517.357421875
2014-12-26,9614.0,9034.052734375,579.947265625
2015-01-02,8809.0,9096.755859375,-287.755859375
2015-01-09,8875.0,8842.787109375,32.212890625
2015-01-16,8851.0,8871.04296875,-20.04296875
2015-01-23,9022.0,8877.845703125,144.154296875
2015-01-30,8442.0,8929.701171875,-487.701171875
