experiment,context_len,date,actual,predicted,naive
exp_52w,52,2024-01-05,8325.0,8603.27734375,7558.0
exp_52w,52,2024-01-12,8269.0,8580.576171875,8054.0
exp_52w,52,2024-01-19,7880.0,8534.2421875,8142.0
exp_52w,52,2024-01-26,8144.0,8371.66796875,8491.0
exp_52w,52,2024-02-02,8807.0,8334.3466796875,8428.0
exp_52w,52,2024-02-09,8168.0,8504.84765625,8274.0
exp_52w,52,2024-02-16,8200.0,8357.017578125,8910.0
exp_52w,52,2024-02-23,8467.0,8306.26171875,9112.0
exp_52w,52,2024-03-01,9013.0,8386.041015625,8562.0
exp_52w,52,2024-03-08,9044.0,8577.484375,8594.0
exp_52w,52,2024-03-15,8809.0,8730.1103515625,8960.0
exp_52w,52,2024-03-22,8715.0,8743.810546875,9145.0
exp_52w,52,2024-03-29,9236.0,8742.564453125,9295.0
exp_52w,52,2024-04-05,8612.0,8919.373046875,8936.0
exp_52w,52,2024-04-12,8662.0,8809.41015625,8519.0
exp_52w,52,2024-04-19,8423.0,8775.64453125,9511.0
exp_52w,52,2024-04-26,8618.0,8701.740234375,8618.0
exp_52w,52,2024-05-03,8797.0,8680.984375,9303.0
exp_52w,52,2024-05-10,8875.0,8757.232421875,8908.0
exp_52w,52,2024-05-17,9315.0,8792.578125,9437.0
exp_52w,52,2024-05-24,9148.0,8979.740234375,9098.0
exp_52w,52,2024-05-31,8946.0,9038.9775390625,9218.0
exp_52w,52,2024-06-07,9040.0,8966.0634765625,9193.0
exp_52w,52,2024-06-14,9386.0,8996.6171875,9375.0
exp_52w,52,2024-06-21,8969.0,9113.27734375,9306.0
exp_52w,52,2024-06-28,9424.0,9004.1884765625,9599.0
exp_52w,52,2024-07-05,9398.0,9089.6171875,8756.0
exp_52w,52,2024-07-12,8783.0,9174.37890625,8855.0
exp_52w,52,2024-07-19,9456.0,8972.04296875,8939.0
exp_52w,52,2024-07-26,9250.0,9122.9775390625,8838.0
exp_52w,52,2024-08-02,8967.0,9140.8720703125,9302.0
exp_52w,52,2024-08-09,9045.0,9053.529296875,8851.0
exp_52w,52,2024-08-16,9193.0,9055.0546875,8910.0
exp_52w,52,2024-08-23,9307.0,9114.349609375,9068.0
exp_52w,52,2024-08-30,8938.0,9131.814453125,9321.0
exp_52w,52,2024-09-06,8478.0,9048.517578125,8307.0
exp_52w,52,2024-09-13,8776.0,8853.884765625,8410.0
exp_52w,52,2024-09-20,9205.0,8886.2783203125,8619.0
exp_52w,52,2024-09-27,8521.0,9018.544921875,8014.0
exp_52w,52,2024-10-04,9654.0,8960.8359375,8581.0
exp_52w,52,2024-10-11,8620.0,9203.8857421875,8943.0
exp_52w,52,2024-10-18,8838.0,8871.2451171875,8864.0
exp_52w,52,2024-10-25,9159.0,8870.6484375,8697.0
exp_52w,52,2024-11-01,8828.0,8957.513671875,9492.0
exp_52w,52,2024-11-08,9383.0,8941.77734375,8949.0
